epoch,categorical_accuracy,loss,lr,val_1-shot_1-way_acc,val_loss
1,0.13019999999999998,13.597471437613551,0.001,1.0,1.0000000100247605e-08
2,0.12150000000000008,12.694485333616472,0.001,1.0,1.0000000100247605e-08
3,0.11719999999999998,12.59236417061835,0.001,1.0,1.0000000100247605e-08
4,0.11349999999999999,12.397307909496998,0.001,1.0,1.0000000100247605e-08
5,0.10500000000000002,11.204094421677501,0.0001,1.0,1.0000000100247605e-08
6,0.10269999999999996,10.370310799214018,0.0001,1.0,1.0000000100247605e-08
7,0.1041999999999999,9.641412811059615,0.0001,1.0,1.0000000100247605e-08
8,0.11049999999999999,9.289825406770937,0.0001,1.0,1.0000000100247605e-08
9,0.11049999999999997,8.785468565363283,0.0001,1.0,1.0000000100247605e-08
10,0.11259999999999998,8.723908392214552,0.0001,1.0,1.0000000100247605e-08
11,0.11640000000000002,8.063181117376649,0.0001,1.0,1.0000000100247605e-08
12,0.11640000000000002,8.312663906192913,0.0001,1.0,1.0000000100247605e-08
13,0.11280000000000001,8.106361674403434,0.0001,1.0,1.0000000100247605e-08
14,0.11820000000000003,7.806872904205298,0.0001,1.0,1.0000000100247605e-08
15,0.11690000000000002,7.567846629089807,0.0001,1.0,1.0000000100247605e-08
16,0.1168,7.167149474531398,0.0001,1.0,1.0000000100247605e-08
17,0.12660000000000005,7.122438688265088,0.0001,1.0,1.0000000100247605e-08
18,0.12210000000000004,6.9447748963768765,0.0001,1.0,1.0000000100247605e-08
19,0.12480000000000002,6.833983309910979,0.0001,1.0,1.0000000100247605e-08
20,0.12599999999999995,6.494691189829592,0.0001,1.0,1.0000000100247605e-08
21,0.1291,6.59900167603721,0.0001,1.0,1.0000000100247605e-08
22,0.13300000000000003,6.347500829517049,0.0001,1.0,1.0000000100247605e-08
23,0.13439999999999996,6.210998426385722,0.0001,1.0,1.0000000100247605e-08
24,0.1414,6.332754272575561,0.0001,1.0,1.0000000100247605e-08
25,0.14990000000000006,6.004335420623106,0.0001,1.0,1.0000000100247605e-08
26,0.13680000000000006,5.862017772596072,0.0001,1.0,1.0000000100247605e-08
27,0.13970000000000005,5.833050548043234,0.0001,1.0,1.0000000100247605e-08
28,0.14590000000000006,5.498618559176315,0.0001,1.0,1.0000000100247605e-08
29,0.1445,5.365987575607066,0.0001,1.0,1.0000000100247605e-08
30,0.13950000000000004,5.172593138390377,0.0001,1.0,1.0000000100247605e-08
31,0.13470000000000004,4.520671675352953,0.0001,1.0,1.0000000100247605e-08
32,0.14220000000000002,3.6398863280764493,0.0001,1.0,1.0000000100247605e-08
33,0.1492,3.007780119603354,0.0001,1.0,1.0000000100247605e-08
34,0.1604,2.892833450303548,0.0001,1.0,1.0000000100247605e-08
35,0.17290000000000003,2.856783057114701,0.0001,1.0,1.0000000100247605e-08
36,0.17530000000000012,2.8472291454969794,0.0001,1.0,1.0000000100247605e-08
37,0.177,2.8442443069513264,0.0001,1.0,1.0000000100247605e-08
38,0.17960000000000004,2.8338984960752076,0.0001,1.0,1.0000000100247605e-08
39,0.17860000000000004,2.8212562944818727,0.0001,1.0,1.0000000100247605e-08
40,0.17219999999999996,2.8229667809324313,0.0001,1.0,1.0000000100247605e-08
41,0.1786000000000001,2.807749779434656,0.0001,1.0,1.0000000100247605e-08
42,0.17600000000000013,2.8201418592907324,0.0001,1.0,1.0000000100247605e-08
43,0.1905,2.7972681629233693,0.0001,1.0,1.0000000100247605e-08
44,0.17870000000000008,2.8040815859972543,0.0001,1.0,1.0000000100247605e-08
45,0.1827,2.7938348475442716,0.0001,1.0,1.0000000100247605e-08
46,0.18059999999999998,2.8004770143687496,0.0001,1.0,1.0000000100247605e-08
